Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Employee_Manager_Session,Chrome 131.0.0.0,Employee_Manager_Session,,27-11-2024 17:12:31,27-11-2024 17:14:47,2m - 16.151s,PASSED
,,,,,,,
Test Cases/Login/Manager,Chrome 131.0.0.0,Manager Test Case,@login,27-11-2024 17:12:31,27-11-2024 17:14:47,2m - 15.717s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,27-11-2024 17:12:32,27-11-2024 17:12:46,13.890s,PASSED
navigateToUrl(URL),Chrome 131.0.0.0,,,27-11-2024 17:12:46,27-11-2024 17:12:56,10.137s,PASSED
"setText(findTestObject(""Page_Login/input_Refresh_2050""), Username)",Chrome 131.0.0.0,,,27-11-2024 17:12:56,27-11-2024 17:12:57,1.237s,PASSED
"setEncryptedText(findTestObject(""Page_Login/input_Username_2180""), Password)",Chrome 131.0.0.0,,,27-11-2024 17:12:57,27-11-2024 17:12:58,0.625s,PASSED
"click(findTestObject(""Page_Login/span_Log in""))",Chrome 131.0.0.0,,,27-11-2024 17:12:58,27-11-2024 17:12:59,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_My Settings/a_All Leave""))",Chrome 131.0.0.0,,,27-11-2024 17:12:59,27-11-2024 17:13:11,12.530s,PASSED
"click(findTestObject(""Page_Employee Leave/svg_My Applied Leave_slds-icon slds-icon-te_a4c030""))",Chrome 131.0.0.0,,,27-11-2024 17:13:11,27-11-2024 17:13:14,3.300s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave/span_Pending Approvals""))",Chrome 131.0.0.0,,,27-11-2024 17:13:14,27-11-2024 17:13:46,31.634s,PASSED
"click(findTestObject(""Page_Employee Leave/a_SortEmployee Leave Name""))",Chrome 131.0.0.0,,,27-11-2024 17:13:46,27-11-2024 17:13:48,1.688s,PASSED
"click(findTestObject(""Page_Employee Leave/a_SortEmployee Leave Name""))",Chrome 131.0.0.0,,,27-11-2024 17:13:48,27-11-2024 17:13:49,1.591s,PASSED
"click(findTestObject(""Get_Manager_First_Row_Id""))",Chrome 131.0.0.0,,,27-11-2024 17:13:49,27-11-2024 17:13:50,1.105s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave EL-4320/button_Reject""))",Chrome 131.0.0.0,,,27-11-2024 17:13:50,27-11-2024 17:13:59,8.260s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave EL-4320/button_OK""))",Chrome 131.0.0.0,,,27-11-2024 17:13:59,27-11-2024 17:13:59,0.810s,PASSED
"navigateToUrl(""https://sftd1--testingcoe.sandbox.my.site.com/CRMITCommunity/s/employee-leave/a5kD10000005zOIIAY/el4320"")",Chrome 131.0.0.0,,,27-11-2024 17:13:59,27-11-2024 17:14:04,4.939s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave EL-4320/a_All Leave""))",Chrome 131.0.0.0,,,27-11-2024 17:14:04,27-11-2024 17:14:05,0.713s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave/svg_My Applied Leave_slds-icon slds-icon-te_a4c030""))",Chrome 131.0.0.0,,,27-11-2024 17:14:05,27-11-2024 17:14:09,4.317s,PASSED
"click(findTestObject(""Object Repository/Page_Employee Leave/span_Recently Viewed""))",Chrome 131.0.0.0,,,27-11-2024 17:14:09,27-11-2024 17:14:41,31.627s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,27-11-2024 17:14:41,27-11-2024 17:14:47,6.163s,PASSED
